日付(利用日),,科目,title,インボイス番号,税率10％,税率8％,金額（式）,金額,消費税10％分,消費税8％分
2025/03/26,26,出張旅費,焼肉コゾウ,,,,0,8000,0,0
2025/03/28,28,会議費,暖暮,T1011001092685,,,0,2010,0,0
2025/03/28,28,接待交際費,東京苑,T8013302018156,,,0,12545,0,0
2025/04/04,04,研究開発費,オオゼキ,T3010901002207,,106,106,,0,79
2025/06/12,12,,東急すとあ,T8013201004026,,,0,1929,0,0
2025/06/12,12,接待交際費,くら鮨,T4120101002846,,,0,2680,0,0
2025/06/19,19,,東急ストア,T8013201004026,,460,460,460,0,341
2025/06/29,29,研究開発費,DEAN&DELUCA,T5011001043791,,1879,1879,1879,0,1392
2025/07/19,19,研究開発費,seoul Cafe,T9011101054974,1750,,1750,1750,159,0
2025/07/27,27,研究開発費,North Cream 中目黒点,T7430001070926,,700,700,700,0,519
2025/08/04,04,研究開発費,まいばすけっと,T1040001064592,,785,785,785,0,581
2025/08/05,05,研究開発費,まいばすけっと,T1040001064592,,106,106,106,0,79
2025/08/07,07,一括償却資産,(株)高橋総本店　調理道具部,T8010501007361,107900,,107900,107900,9809,0
2025/08/11,11,研究開発費,ピーコック,T8120001077472,,524,524,524,0,388
2025/08/15,15,研究開発費,ライフ,T9010001060208,,1007,1007,1007,0,746
2025/08/15,15,消耗品費,ダイソー,T7240001022681,330,,330,330,30,0
2025/08/15,15,研究開発費,まいばすけっと,T1040001064592,,731,731,731,0,541
2025/08/16,16,消耗品費,(株)高橋総本店　調理道具部,T8010501007361,1064,,1064,1064,97,0
2025/08/16,16,研究開発費,東急ストア,T8013201004026,,373,373,373,0,276
2025/08/17,17,研究開発費,オオゼキ,T3010901002207,,1099,1099,1099,0,814
2025/08/17,17,,シェルガーデン,T0613201002568,,794,794,794,0,588
2025/08/19,19,研究開発費,東急ストア,T8013201004026,,2332,2332,2332,0,1727
2025/08/22,22,出張旅費,東日本旅客鉄道,なし,1840,,1840,1840,167,0
2025/08/22,22,会議費,道の駅はくしゅう,なし,,1490,1490,1490,0,1104
2025/08/23,23,接待交際費,近商ストア京都店,T3120101026862,3850,0,3850,3850,350,0
2025/08/24,24,研究開発費,丸久小山園　西洞院店,T1120001033101,,3348,3348,3348,0,2480
2025/08/25,25,消耗品費,キャンドゥ,T6011101063012,220,,220,220,20,0
2025/08/26,26,消耗品費,ダイソー,T7240001022681,110,,110,110,10,0
